name	continent	iso_country	iso_region	municipality	iata_code
Utirik Airport	OC	MH	MH-UTI	Utirik Island	UTK
Buckhorn Ranch Airport	NA	US	US-CO	Crested Butte	CSE
LBJ Ranch Airport	NA	US	US-TX	Johnson City	JCY
Metropolitan Airport	NA	US	US-MA	Palmer	PMX
Loring Seaplane Base	NA	US	US-AK	Loring	WLR
Nunapitchuk Airport	NA	US	US-AK	Nunapitchuk	NUP
Icy Bay Airport	NA	US	US-AK	Icy Bay	ICY
Kalakaket Creek AS Airport	NA	US	US-AK	Kalakaket Creek	KKK
Lime Village Airport	NA	US	US-AK	Lime Village	LVD
Five Finger CG Heliport	NA	US	US-AK	Five Finger	FIV
Hog River Airport	NA	US	US-AK	Hogatza	HGZ
Blakely Island Airport	NA	US	US-WA	Blakely Island	BYW
Drift River Airport	NA	US	US-AK	Kenai	DRF
Rinkenberger Restricted Landing Area	NA	US	US-IL	Bradford	BDF
Golden Horn Lodge Seaplane Base	NA	US	US-AK	Golden Horn Lodge	GDH
Atmautluak Airport	NA	US	US-AK	Atmautluak	ATT
Livengood Camp Airport	NA	US	US-AK	Livengood	LIV
Pedro Bay Airport	NA	US	US-AK	Pedro Bay	PDB
Ouzinkie Airport	NA	US	US-AK	Ouzinkie	KOZ
Ben Bruce Memorial Airpark	NA	US	US-TX	Evadale	EVA
Blaine Municipal Airport	NA	US	US-WA	Blaine	BWS
Aleknagik / New Airport	NA	US	US-AK	Aleknagik	WKK
Ketchikan Harbor Seaplane Base	NA	US	US-AK	Ketchikan	WFB
Fort Gillem Heliport	NA	US	US-GA	Fort Gillem	FOP
Catalina Air-Sea Terminal Heliport	NA	US	US-CA	San Pedro	SPQ
East 34th Street Heliport	NA	US	US-NY	New York	TSS
New York Skyports Inc Seaplane Base	NA	US	US-NY	New York	QNY
Earl Henry Airport	NA	US	US-OK	Blackwell	BWL
Center Island Airport	NA	US	US-WA	Center Island	CWS
Pine Island Airport	NA	US	US-NC	Corolla	DUF
Fort Bragg Airport	NA	US	US-CA	Fort Bragg	FOB
Century City Heliport	NA	US	US-CA	Los Angeles	CCD
Meyers Chuck Seaplane Base	NA	US	US-AK	Meyers Chuck	WMK
Waldronaire Airport	NA	US	US-WA	East Sound	WDN
Chuathbaluk Airport	NA	US	US-AK	Chuathbaluk	CHU
Levelock Airport	NA	US	US-AK	Levelock	KLL
Saginaw Seaplane Base	NA	US	US-AK	Saginaw Bay	SGW
Tuntutuliak Airport	NA	US	US-AK	Tuntutuliak	WTL
Chignik Lake Airport	NA	US	US-AK	Chignik Lake	KCQ
Andakombe Airport	OC	PG	PG-EHG	Andekombe	ADC
Algeciras Heliport	EU	ES	ES-CA	Algeciras	AEI
Aseki Airport	OC	PG	PG-MPL	Aseki	AEK
Aiome Airport	OC	PG	PG-MPM	Aiome	AIE
Aiambak Airport	OC	PG	PG-WPD	Aiambak	AIH
Chena Hot Springs Airport	NA	US	US-AK	Chena Hot Springs	CEX
Herendeen Bay Airport	NA	US	US-AK	Herendeen Bay	HED
Taylor Airport	NA	US	US-AK	Taylor	TWE
Tikchik Lodge Seaplane Base	NA	US	US-AK	Tikchik	KTH
Lonely Air Station	NA	US	US-AK	Lonely	LNI
Candle 2 Airport	NA	US	US-AK	Candle	CDL
Bartletts Airport	NA	US	US-AK	Egegik	BSZ
Boswell Bay Airport	NA	US	US-AK	Boswell Bay	BSW
Sharpe Field	NA	US	US-AL	Tuskegee	TGE
Amanab Airport	OC	PG	PG-SAN	Amanab	AMU
April River Airport	OC	PG	PG-ESW	April River	APR
Girdwood Airport	NA	US	US-AK	Girdwood	AQY
Sunchales Aeroclub Airport	SA	AR	AR-S	Sunchales	NCJ
Namatanai Airport	OC	PG	PG-NIK	Namatanai	ATN
Aitape Airport	OC	PG	PG-SAN	Aitape	ATP
Aua Island Airport	OC	PG	PG-MRL	Aua Island	AUI
