lemma,poscode,surface
Cabul,3,
Tirana,3,
Argel,3,
Andorra la Vella,3,
Luanda,3,
Saint John's,3,
Buenos Aires,3,
Yerevan,3,
Canberra,3,
Viena,3,
Baku,3,
Nassau,3,
Manama,3,
Dhaka,3,
Bridgetown,3,
Minsk,3,
Bruxelas,3,
Belmopan,3,
Porto-Novo,3,
Thimphu,3,
La Paz,3,
Sucre,3,
Sarajevo,3,
Gaborone,3,
Brasilia,3,
Bandar Seri Begawan,3,
Sofia,3,
Ouagadougou,3,
Bujumbura,3,
Phnom Penh,3,
Yaounde,3,
Ottawa,3,
Praia,3,
Bangui,3,
N'Djamena,3,
Santiago,3,
Beijing,3,
Bogotá,3,
Moroni,3,
Brazzaville,3,
Kinshasa,3,
San Jose,3,
Yamoussoukro,3,
Abidjan,3,
Zagreb,3,
Havana,3,
Nicosia,3,
Praga,3,
Copenhaga,3,
Djibuti,3,
Roseau,3,
Santo Domingo,3,
Dili,3,
Quito,3,
Cairo,3,
San Salvador,3,
Malabo,3,
Asmara,3,
Tallinn,3,
Addis Abeba,3,
Suva,3,
Helsínquia,3,
Paris,3,
Libreville,3,
Banjul,3,
Tbilisi,3,
Berlim,3,
Accra,3,
Atenas,3,
Saint George's,3,
Guatemala City,3,
Conacri,3,
Bissau,3,
Georgetown,3,
Port-au-Prince,3,
Tegucigalpa,3,
Budapest,3,
Reykjavik,3,
Nova Deli,3,
Jakarta,3,
Teerão,3,
Bagdá,3,
Dublin,3,
Jerusalém,3,
Roma,3,
Kingston,3,
Tokyo,3,
Amã,3,
Astana,3,
Nairobi,3,
Tarawa Atoll,3,
Pyongyang,3,
Seul,3,
Pristina,3,
Kuwait City,3,
Bishkek,3,
Vientiane,3,
Riga,3,
Beirute,3,
Maseru,3,
Monróvia,3,
Tripoli,3,
Vaduz,3,
Vilnius,3,
Luxemburgo,3,
Skopje,3,
Antananarivo,3,
Lilongwe,3,
Kuala Lumpur,3,
Masculino,3,
Bamako,3,
Valletta,3,
Majuro,3,
Nouakchott,3,
Port Louis,3,
Cidade do México,3,
Palikir,3,
Chisinau,3,
Mónaco,3,
Ulaanbaatar,3,
Podgorica,3,
Rabat,3,
Maputo,3,
Mianmar,3,
Yangon,3,
Qual Pyi Taw,3,
Windhoek,3,
Kathmandu,3,
Amesterdã,3,
Haia,3,
Wellington,3,
Manágua,3,
Niamey,3,
Abuja,3,
Oslo,3,
Muscat,3,
Islamabad,3,
Melekeok,3,
Panama City,3,
Port Moresby,3,
Asuncion,3,
Lima,3,
Manila,3,
Varsóvia,3,
Lisboa,3,
Doha,3,
Bucareste,3,
Moscow,3,
Kigali,3,
Basseterre,3,
Castries,3,
Kingstown,3,
Apia,3,
San Marino,3,
São Tomé,3,
Riyadh,3,
Dakar,3,
Belgrado,3,
Victoria,3,
Freetown,3,
Singapura,3,
Bratislava,3,
Ljubljana,3,
Honiara,3,
Mogadíscio,3,
Pretória,3,
Cidade do Cabo,3,
Bloemfontein,3,
Madrid,3,
Colombo,3,
Sri Jayewardenepura Kotte,3,
Cartum,3,
Paramaribo,3,
Mbabane,3,
Estocolmo,3,
Bern,3,
Damasco,3,
Taipei,3,
Dushanbe,3,
Dar-es-Salaam,3,
Dodoma,3,
Bangkok,3,
Lome,3,
Nuku'alofa,3,
Port-of-Spain,3,
Tunis,3,
Ancara,3,
Ashgabat,3,
Vaiaku,3,
Kampala,3,
Kyiv,3,
Abu Dhabi,3,
London,3,
Washington D.C.,3,
Montevideo,3,
Tashkent,3,
Port-Vila,3,
Cidade do Vaticano,3,
Caracas,3,
Hanoi,3,
Sanaa,3,
Lusaka,3,
Harare,3,
