Lemma,poscode,surface
"Walmart",3,
"Exxon Mobil",3,
"Chevron",3,
"Berkshire Hathaway",3,
"Apple",3,
"General Motors",3,GM
"Phillips 66",3,
"General Electric",3,GE
"Ford Motor",3,ford
"Cvs Health",3,
"Mckesson",3,
"At&t",3,
"Valero Energy",3,
"Unitedhealth Group",3,
"Verizon",3,
"Amerisourcebergen",3,
"Fannie Mae",3,
"Costco",3,
"HP",3,
"Kroger",3,
"Jp Morgan Chase",3,
"Express Scripts Holding",3,
"Bank of America Corp.",3,
"Ibm",3,
"Marathon Petroleum",3,
"Cardinal Health",3,
"Boeing",3,
"Citigroup",3,
"Amazon.com",3,
"Wells Fargo",3,
"Microsoft",3,
"Procter & Gamble",3,
"Home Depot",3,
"Archer Daniels Midland",3,
"Walgreens",3,
"Target",3,
"Johnson & Johnson",3,
"Anthem",3,
"Metlife",3,
"Google",3,
"State Farm Insurance Cos.",3,
"Freddie Mac",3,
"Comcast",3,
"Pepsico",3,
"United Technologies",3,
"Aig",3,
"Ups",3,
"Dow Chemical",3,
"Aetna",3,
"Lowe's",3,
"Conocophillips",3,
"Intel",3,
"Energy Transfer Equity",3,
"Caterpillar",3,
"Prudential Financial",3,
"Pfizer",3,
"Disney",3,
"Humana",3,
"Enterprise Products Partners",3,
"Cisco Systems",3,
"Sysco",3,
"Ingram Micro",3,
"Coca-cola",3,
"Lockheed Martin",3,
"Fedex",3,
"Johnson Controls",3,
"Plains Gp Holdings",3,
"World Fuel Services",3,
"Chs",3,
"American Airlines Group",3,
"Merck",3,
"Best Buy",3,
"Delta Air Lines",3,
"Honeywell International",3,
"Hca Holdings",3,
"Goldman Sachs Group",3,
"Tesoro",3,
"Liberty Mutual Insurance Group",3,
"United Continental Holdings",3,
"New York Life Insurance",3,
"Oracle",3,
"Morgan Stanley",3,
"Tyson Foods",3,
"Safeway",3,
"Nationwide",3,
"Deere",3,
"Dupont",3,
"American Express",3,
"Allstate",3,
"Cigna",3,
"Mondelez International",3,
"Tiaa-cref",3,
"Intl Fcstone",3,
"Massachusetts Mutual Life Insurance",3,
"Directv",3,
"Halliburton",3,
"Twenty-first Century Fox",3,
"3m",3,
"Sears Holdings",3,
"General Dynamics",3,
"Publix Super Markets",3,
"Philip Morris International",3,
"Tjx",3,
"Time Warner",3,
"Macy's",3,
"Nike",3,
"Tech Data",3,
"Avnet",3,
"Northwestern Mutual",3,
"Mcdonald's",3,
"Exelon",3,
"Travelers Cos.",3,
"Qualcomm",3,
"International Paper",3,
"Occidental Petroleum",3,
"Duke Energy",3,
"Rite Aid",3,
"Gilead Sciences",3,
"Baker Hughes",3,
"Emerson Electric",3,
"Emc",3,
"Usaa",3,
"Union Pacific",3,
"Northrop Grumman",3,
"Alcoa",3,
"Capital One Financial",3,
"National Oilwell Varco",3,
"Us Foods",3,
"Raytheon",3,
"Time Warner Cable",3,
"Arrow Electronics",3,
"Aflac",3,
"Staples",3,
"Abbott Laboratories",3,
"Community Health Systems",3,
"Fluor",3,
"Freeport-mcmoran",3,
"U.s. Bancorp",3,
"Nucor",3,
"Kimberly-clark",3,
"Hess",3,
"Chesapeake Energy",3,
"Xerox",3,
"Manpowergroup",3,
"Amgen",3,
"Abbvie",3,
"Danaher",3,
"Whirlpool",3,
"Pbf Energy",3,
"Hollyfrontier",3,
"Eli Lilly",3,
"Devon Energy",3,
"Progressive",3,
"Cummins",3,
"Icahn Enterprises",3,
"Autonation",3,
"Kohl's",3,
"Paccar",3,
"Dollar General",3,
"Hartford Financial Services Group",3,
"Southwest Airlines",3,
"Anadarko Petroleum",3,
"Southern",3,
"Supervalu",3,
"Kraft Foods Group",3,
"Goodyear Tire & Rubber",3,
"Eog Resources",3,
"Centurylink",3,
"Altria Group",3,
"Tenet Healthcare",3,
"General Mills",3,
"Ebay",3,
"Conagra Foods",3,
"Lear",3,
"Trw Automotive Holdings",3,
"United States Steel",3,
"Penske Automotive Group",3,
"Aes",3,
"Colgate-palmolive",3,
"Global Partners",3,
"Thermo Fisher Scientific",3,
"Pg&e Corp.",3,
"Nextera Energy",3,
"American Electric Power",3,
"Baxter International",3,
"Centene",3,
"Starbucks",3,
"Gap",3,
"Bank of New York Mellon Corp.",3,
"Micron Technology",3,
"Jabil Circuit",3,
"Pnc Financial Services Group",3,
"Kinder Morgan",3,
"Office Depot",3,
"Bristol-myers Squibb",3,
"Nrg Energy",3,
"Monsanto",3,
"Ppg Industries",3,
"Genuine Parts",3,
"Omnicom Group",3,
"Illinois Tool Works",3,
"Murphy Usa",3,
"Land O'lakes",3,
"Western Refining",3,
"Western Digital",3,
"Firstenergy",3,
"Aramark",3,
"Dish Network",3,
"Las Vegas Sands",3,
"Kellogg",3,
"Loews",3,
"Cbs",3,
"Ecolab",3,
"Whole Foods Market",3,
"Chubb",3,
"Health Net",3,
"Waste Management",3,
"Apache",3,
"Textron",3,
"Synnex",3,
"Marriott International",3,
"Viacom",3,
"Lincoln National",3,
"Nordstrom",3,
"C.h. Robinson Worldwide",3,
"Edison International",3,
"Marathon Oil",3,
"Yum Brands",3,
"Computer Sciences",3,
"Parker-hannifin",3,
"Davita Healthcare Partners",3,
"Carmax",3,
"Texas Instruments",3,
"Wellcare Health Plans",3,
"Marsh & Mclennan",3,
"Consolidated Edison",3,
"Oneok",3,
"Visa",3,
"Jacobs Engineering Group",3,
"Csx",3,
"Entergy",3,
"Facebook",3,
"Dominion Resources",3,
"Leucadia National",3,
"Toys R Us",3,
"Dte Energy",3,
"Ameriprise Financial",3,
"Vf",3,
"Praxair",3,
"J.c. Penney",3,
"Automatic Data Processing",3,
"L-3 Communications",3,
"Cdw",3,
"Guardian Life Ins. Co. Of America",3,
"Xcel Energy",3,
"Norfolk Southern",3,
"Ppl",3,
"R.r. Donnelley & Sons",3,
"Huntsman",3,
"Bed Bath & Beyond",3,
"Stanley Black & Decker",3,
"L Brands",3,
"Liberty Interactive",3,
"Farmers Insurance Exchange",3,
"First Data",3,
"Sherwin-williams",3,
"Blackrock",3,
"Voya Financial",3,
"Ross Stores",3,
"Sempra Energy",3,
"Estee Lauder",3,
"H.j. Heinz",3,
"Reinsurance Group of America",3,
"Public Service Enterprise Group",3,
"Cameron International",3,
"Navistar International",3,
"Cst Brands",3,
"State Street Corp.",3,
"Unum Group",3,
"Hilton Worldwide Holdings",3,
"Family Dollar Stores",3,
"Principal Financial",3,
"Reliance Steel & Aluminum",3,
"Air Products & Chemicals",3,
"Assurant",3,
"Peter Kiewit Sons'",3,
"Henry Schein",3,
"Cognizant Technology Solutions",3,
"Mgm Resorts International",3,
"W.w. Grainger",3,
"Group 1 Automotive",3,
"Bb&t Corp.",3,
"Rock-tenn",3,
"Advance Auto Parts",3,
"Ally Financial",3,
"Agco",3,
"Corning",3,
"Biogen",3,
"Ngl Energy Partners",3,
"Stryker",3,
"Molina Healthcare",3,
"Precision Castparts",3,
"Discover Financial Services",3,
"Genworth Financial",3,
"Eastman Chemical",3,
"Dean Foods",3,
"Autozone",3,
"Mastercard",3,
"Owens & Minor",3,
"Hormel Foods",3,
"Gamestop",3,
"Autoliv",3,
"Centerpoint Energy",3,
"Fidelity National Financial",3,
"Sonic Automotive",3,
"Hd Supply Holdings",3,
"Charter Communications",3,
"Crown Holdings",3,
"Applied Materials",3,
"Mosaic",3,
"Cbre Group",3,
"Avon Products",3,
"Republic Services",3,
"Universal Health Services",3,
"Darden Restaurants",3,
"Steel Dynamics",3,
"Suntrust Banks",3,
"Caesars Entertainment",3,
"Targa Resources",3,
"Dollar Tree",3,
"News Corp.",3,
"Ball",3,
"Thrivent Financial for Lutherans",3,
"Masco",3,
"Franklin Resources",3,
"Avis Budget Group",3,
"Reynolds American",3,
"Becton Dickinson",3,
"Priceline Group",3,
"Broadcom",3,
"Tenneco",3,
"Campbell Soup",3,
"Aecom",3,
"Visteon",3,
"Delek Us Holdings",3,
"Dover",3,
"Borgwarner",3,
"Jarden",3,
"Ugi",3,
"Murphy Oil",3,
"Pvh",3,
"Core-mark Holding",3,
"Calpine",3,
"D.r. Horton",3,
"Weyerhaeuser",3,
"Kkr",3,
"Fmc Technologies",3,
"American Family Insurance Group",3,
"Spartannash",3,
"Wesco International",3,
"Quanta Services",3,
"Mohawk Industries",3,
"Motorola Solutions",3,
"Lennar",3,
"Travelcenters of America",3,
"Sealed Air",3,
"Eversource Energy",3,
"Coca-cola Enterprises",3,
"Celgene",3,
"Williams",3,
"Ashland",3,
"Interpublic Group",3,
"Blackstone Group",3,
"Ralph Lauren",3,
"Quest Diagnostics",3,
"Hershey",3,
"Terex",3,
"Boston Scientific",3,
"Newmont Mining",3,
"Allergan",3,
"O'reilly Automotive",3,
"Casey's General Stores",3,
"Cms Energy",3,
"Foot Locker",3,
"W.r. Berkley",3,
"Petsmart",3,
"Pacific Life",3,
"Commercial Metals",3,
"Agilent Technologies",3,
"Huntington Ingalls Industries",3,
"Mutual of Omaha Insurance",3,
"Live Nation Entertainment",3,
"Dick's Sporting Goods",3,
"Oshkosh",3,
"Celanese",3,
"Spirit Aerosystems Holdings",3,
"United Natural Foods",3,
"Peabody Energy",3,
"Owens-illinois",3,
"Dillard's",3,
"Level 3 Communications",3,
"Pantry",3,
"Lkq",3,
"Integrys Energy Group",3,
"Symantec",3,
"Buckeye Partners",3,
"Ryder System",3,
"Sandisk",3,
"Rockwell Automation",3,
"Dana Holding",3,
"Lansing Trade Group",3,
"Ncr",3,
"Expeditors International of Washington",3,
"Omnicare",3,
"Ak Steel Holding",3,
"Fifth Third Bancorp",3,
"Seaboard",3,
"Nisource",3,
"Cablevision Systems",3,
"Anixter International",3,
"Emcor Group",3,
"Fidelity National Information Services",3,
"Barnes & Noble",3,
"Kbr",3,
"Auto-owners Insurance",3,
"Jones Financial",3,
"Avery Dennison",3,
"Netapp",3,
"Iheartmedia",3,
"Discovery Communications",3,
"Harley-davidson",3,
"Sanmina",3,
"Trinity Industries",3,
"J.b. Hunt Transport Services",3,
"Charles Schwab",3,
"Erie Insurance Group",3,
"Dr Pepper Snapple Group",3,
"Ameren",3,
"Mattel",3,
"Laboratory Corp. Of America",3,
