Lemma,poscode,surface
"Cns Central De Nucleos Siliciosos Eireli",3,
"Jarfel Montagem De Maquinas E Equipamentos Industriais",3,
"Decorwood Ltda",3,
"Industria De Portas Dois Tempos Eireli - Epp",3,
"Henrisold Soldas E Ferramentas Ltda - Epp",3,
"Drinique Transportes Ltda - Epp",3,
"Intercomex Brasil, Comercio Exterior Ltda",3,
"Igor Dorn - Me",3,
"Rads Componentes Eireli",3,
"Omi Do Brasil Textil S.a.",3,
"Covance Brasil Servicos E Pesquisas Farmaceuticas Ltda.",3,
"Tecno Tools Ferramentas E Abrasivos Ltda",3,
"Metalurgica Rivertec Ltda",3,
"Ulimax Esquadrias De Madeira Ltda",3,
"Metalurgica Visual Kits Ltda",3,
"Argentaureos Douracao E Prateacao Ltda",3,
"Fabraco Industria E Comercio Ltda",3,
"Floral Atlanta Industria E Comercio Ltda",3,
"Industria De Gessos Especiais Ltda",3,
"Agencia Lang Ltda",3,
"Wcr Industria Brasileira De Polias Ltda - Me",3,
"Purifilt - Industria E Comercio De Purificadores De Com",3,
"Moveis Brastubo Ltda.",3,
"Incpec - Industria E Comercio De Persianas Ltda",3,
"Bezerra E Gomes Ltda - Me",3,
"Sgb Importacao E Varejo De Artigos De Luxo Ltda",3,
"Indukern Do Brasil Quimica Ltda.",3,
"Hummel Connector Systems Ltda.",3,
"Strokmatic Automation Technology - Eireli  - Me",3,
"Elanders Reproducao De Imagens Ltda",3,
"Btp Solucoes Para Mercado Movel Ltda",3,
"Hubibras Moveis Ltda - Me",3,
"Metalurgica Tuzzi Limitada",3,
"North Trade Comercio Importacao E Exportacao Ltda - Epp",3,
"Comavil Com De Maq Ferramentas E Repres Vilhena Ltda",3,
"J & T Exportacao E Importacao Ltda - Me",3,
"Talmax Produtos De Protese Dentaria Ltda",3,
"Jolimode Roupas S a",3,
"Polo Brazil Technology Importacao E Exportacao Ltda. -",3,
"Balflex Brasil Ltda.",3,
"Daxia Doce Aroma Industria E Comercio Ltda.",3,
"Molduras Aguiar Ltda - Me",3,
"Ismael Goncalves Da Silva Junior",3,
"Martiaco Industria De Artefatos Metalicos Ltda",3,
"Macrosul Industria E Comercio De Parafusos Ltda",3,
"Alotof Brasil Comercio De Moveis Ltda - Me",3,
"Ital Produtos Industriais Ltda..",3,
"Passarin Industria E Comercio De Bebidas Ltda",3,
"Spumapac - Industrial E Distribuidora De Artefatos Plas",3,
"Basalto Sao Cristovao Ltda",3,
"Plx Industria E Comercio De Confeccoes Eireli",3,
"Bambozzi Brasil Industrial De Maquinas Ltda",3,
"Metalurgica Divamaq Ltda. - Epp",3,
"Roloflex Industrial E Comercial Ltda",3,
"Nobrega Industria E Comercio De Artigos Esportivos Ltda",3,
"J & D Gems Ltda - Me",3,
"Nossa Farma Ltda.  - Me",3,
"Artstone Do Brasil Ltda - Epp",3,
"Unitec Industria E Comercio De Aparelhos Hospitalares L",3,
"Estofados Dorigon Ltda - Epp",3,
"Wef-industria E Comercio De Maquinas De Embalagens - Ei",3,
"Emec Brasil Sistemas De Tratamento De Agua Ltda",3,
"Biosintese - Comercio E Importacao De Material Medico H",3,
"Helen Nneamaka Abreu Utomi - Epp",3,
"Korth Rfid Ltda",3,
"Fusoni Desmoldantes Ltda  - Me",3,
"Shalon-fios Cirurgicos Ltda.",3,
"Verenna Artefatos De Couro Ltda",3,
"Santa Clara Industria De Cartoes Ltda",3,
"Boa Forma Confeccoes - Eireli - Epp",3,
"Hr Laminados Ltda - Epp",3,
"Strike Calcados Ltda",3,
"Vs Data Comercio & Distribuicao Ltda",3,
"Stratus Compostos Estruturais Ltda",3,
"New Cast Industria E Comercio Ltda",3,
"Daxta Equipamentos Eletronicos Industria E Comercio Ltd",3,
"Vabsco-abs Componentes Ltda",3,
"A D Martinelli - Eireli",3,
"Katoen Natie Do Brasil Ltda",3,
"Refratario Scandelari Ltda",3,
"Trelleborg Do Brasil Ltda",3,
"Rodovale - Industria E Comercio De Equipamentos Rodovia",3,
"Peu Eletricidade Ltda.",3,
"Galena Quimica E Farmaceutica Ltda - Em Recuperacao Jud",3,
"Metalurgica Reuter Ltda",3,
"Stemmann Equipamentos Ltda",3,
"Alternativa Comercio De Couros E Peles Ltda - Me",3,
"Equatorian S.a.",3,
"Carisma Comercial Ltda.",3,
"Kamada Incorporadora E Construtora Ltda",3,
"Nylok Tecnologia Em Fixacao Ltda",3,
"Metalurgica Aver Metais Ltda - Me",3,
"J. Hortolam & Cia Ltda - Epp",3,
"Feeder Industrial Ltda",3,
"Akla Industria De Cosmeticos Ltda",3,
"Uniklima Eletro Industrial Ltda.",3,
"Metalurgica Gedeval Ltda - Epp",3,
"Multinox - Industria E Comercio De Maquinas Ltda",3,
"Tecnofluor Industria E Comercio Ltda",3,
"Elipse Software Ltda",3,
"Xmobots Aeroespacial E Defesa Ltda - Me",3,
"Textilmaq Maquinas Ltda - Me",3,
"Industria Brasileira De Rebites Ltda.",3,
"Dimoplac Divisorias Moduladas Ltda",3,
"Brasband Comercial Importacao E Exportacao Ltda",3,
"Acf Industria De Plasticos Ltda.-me",3,
"Industria De Chaves Gold Ltda",3,
"Mota & Mota Comercio, Importacao E Exportacao Ltda. - M",3,
"Van Oord Servicos De Operacoes Maritimas Ltda",3,
"Laboratorio Canonne Ltda",3,
"Imprimere Embalagens Impressas Eireli - Epp",3,
"Pro-safety Industria E Comercio De Equipamentos De Prot",3,
"Delf Servicos E Negocios Em Tecnologia Ltda",3,
"Bapi Designer Ltda - Me",3,
"Sumitomo Chemical Do Brasil Representacoes Limitada",3,
"Suriana Trading Prestacao De Servicos, Industria E Come",3,
"Nns Comercial Exportacao E Importacao Ltda - Me",3,
"Unylyner Industria E Comercio De Equipamentos De Segura",3,
"Comercial Paty Importacao Ltda",3,
"Alpina Ambiental S/a",3,
"Amj Brasil Comercio, Importacao E Exportacao Ltda",3,
"Hmais Manufatura De Roupas Ltda",3,
"Caf Industria E Comercio De Artefatos De Prata E Ouro E",3,
"Glass Parts Componentes Para Industria Do Vidro Eireli",3,
"Eletron Eletricidade E Telecomunicacoes Ltda - Epp",3,
"Ap Pharma Systems Atomizadores E Dispensadores Ltda.",3,
